RecordID_1	RecordID_2	Record1_Len	Record2_Len	MaxJaccardContain
group_13	group_14	5991	5988	0.03575025176233636
group_5423	ccoP	999	954	0.03571428571428571
group_1150	gsiA~~~dppD	984	1023	0.03563941299790356
group_6200	ltnD	909	909	0.03526734926052332
group_2755	group_2747	429	432	0.03508771929824561
acrR	group_4984	744	927	0.0350140056022409
sigK	group_2460	546	546	0.03488372093023256
group_1938	group_5450	741	753	0.03375527426160337
group_6647	group_4146	297	345	0.033707865168539325
group_6135	group_96	1158	2505	0.03368794326241135
group_3211	group_6271	258	240	0.03333333333333333
group_5282	group_5430	795	183	0.032679738562091505
rnhA	group_6468	462	924	0.032407407407407406
gsiA~~~dppD	ddpC~~~dppC	1023	1173	0.032225579053373615
group_1029	group_1032	1023	1023	0.032225579053373615
group_6838	group_7048	447	441	0.031630170316301706
group_411	group_3855	1533	1521	0.031522468142186455
tar	group_4667	1731	1713	0.0314913844325609
hisJ	group_6674	1023	1017	0.031408308004052685
group_482	appC	1437	1464	0.03127221037668799
tgt	group_3869	1137	384	0.031073446327683617
tniQ	group_1568	1005	876	0.030732860520094562
group_2506	group_7064	522	522	0.03048780487804878
group_2359	group_2363	588	588	0.03046594982078853
group_4501	group_4667	1884	1713	0.030303030303030304
group_3433	fAU1	162	738	0.030303030303030304
group_1014	group_1017	1029	1029	0.03003003003003003
group_709	group_2837	1218	402	0.02956989247311828
group_6538	group_7084	651	741	0.029556650246305417
group_1507	phnJ	891	882	0.029342723004694836
group_688	group_429	1227	1506	0.029239766081871343
yciW	group_5671	480	480	0.028888888888888888
group_1733	group_1742	801	801	0.028534370946822308
nhaP2	group_5833	2889	423	0.027989821882951654
group_1253	group_1242	960	966	0.02795698924731183
group_6690	group_6683	2070	1041	0.027695351137487636
group_6076	group_6077	1317	753	0.027662517289073305
group_5102	group_2084	711	693	0.027149321266968326
group_1287	group_1404	948	915	0.02711864406779661
group_576	group_3755	1326	1326	0.02700617283950617
group_4827	group_3045	342	327	0.026936026936026935
group_1502	group_7068	894	894	0.02662037037037037
group_6597	group_4346	1200	1206	0.026495726495726495
group_3310	group_3196	219	267	0.026455026455026454
group_1330	group_3315	936	219	0.026455026455026454
group_4213	group_2708	465	447	0.026378896882494004
group_2121	ccmA	678	717	0.026234567901234566
group_6099	group_6116	534	453	0.026004728132387706
group_6515	group_7084	729	741	0.02575107296137339
dsbG	group_1842	774	771	0.02564102564102564
tar	group_4992	1731	1956	0.025279247501469725
group_3290	group_3069	228	318	0.025252525252525252
group_1584	group_5602	867	870	0.025089605734767026
nanR	lutR~~~nanR	708	708	0.025073746312684365
group_3711	tcuB	1206	1230	0.02465986394557823
group_6010	group_6011	720	3060	0.02463768115942029
group_6328	group_396	1554	1563	0.024278215223097113
tar	group_7075	1731	528	0.024096385542168676
group_1908	group_1933	753	744	0.023809523809523808
group_1667	group_2049	828	702	0.023809523809523808
group_88	group_87	2553	2562	0.023781212841854936
group_2044	group_351	705	1626	0.023703703703703703
tmk	group_5549	624	1668	0.02356902356902357
group_5540	group_1556	1191	879	0.023557126030624265
group_2907	group_2920	378	372	0.023391812865497075
group_767	group_768	1188	1188	0.023316062176165803
group_1579	group_1621	870	855	0.02303030303030303
group_5513	group_3024	2382	336	0.02287581699346405
group_802	group_803	1167	1167	0.022867194371152155
group_1813	group_1820	777	777	0.022757697456492636
group_56	group_55	3078	3081	0.022637795275590553
group_6192	group_3979	12669	12693	0.022628372497824196
group_3869	group_2227	384	639	0.022598870056497175
metN	metP	1089	654	0.022435897435897436
group_958	rbsB	1062	1062	0.022286821705426358
group_368	group_6605	1596	1557	0.02226588081204977
group_6935	group_2998	345	345	0.022222222222222223
group_3797	group_1405	705	915	0.022222222222222223
group_217	tnsA	2004	666	0.0220125786163522
group_6582	group_6977	1011	303	0.02197802197802198
group_2129	group_2135	672	672	0.021806853582554516
emrA	yibH	1260	1137	0.02168021680216802
group_2567	group_1673	501	828	0.021231422505307854
group_4550	group_4552	1023	975	0.021164021164021163
group_3310	group_3226	219	252	0.021164021164021163
group_5247	group_4981	2646	2631	0.02114571318723568
group_1657	group_1472	837	900	0.021065675340768277
group_4271	group_1338	933	933	0.021040974529346623
group_4501	group_4992	1884	1956	0.021035598705501618
group_2544	group_2551	507	507	0.020964360587002098
siaT	group_230	1893	1893	0.020933977455716585
group_2426	stdA	558	690	0.020833333333333332
oppF~~~dppD	group_335	1002	1644	0.0205761316872428
group_3131	group_3298	294	225	0.020512820512820513
group_3632	group_6588	1632	228	0.020202020202020204
group_688	group_472	1227	1458	0.020050125313283207
group_766	group_757	1188	1194	0.019861830742659757
group_433	group_378	1503	1584	0.019687712152070606
group_4890	group_4324	1122	747	0.019525801952580194
group_636	group_638	1266	1266	0.019417475728155338
group_5207	group_5377	942	909	0.019340159271899887
group_1215	group_1231	972	969	0.019169329073482427
ssuB	group_1577	867	870	0.019115890083632018
group_4509	group_676	1236	1236	0.019071310116086235
group_67	group_5313	2886	3186	0.018907563025210083
