Sample	Complete and single-copy BUSCOs	Fragmented BUSCOs	Complete and duplicated BUSCOs	Missing BUSCOs
short_summary.specific.achromobacter_odb12.P2790_PCD_09062020-0	98.02371541501977	0.5138339920948617	0.07905138339920949	1.383399209486166
short_summary.specific.achromobacter_odb12.P2690_PCD_05112019-0	98.57707509881422	0.43478260869565216	0.11857707509881424	0.8695652173913043
short_summary.specific.achromobacter_odb12.P2590_PCD_29102019-0	98.06324110671937	0.5138339920948617	0.23715415019762848	1.185770750988142
short_summary.specific.achromobacter_odb12.P2590_PCD_12072023-0	99.0513833992095	0.15810276679841898	0.11857707509881424	0.6719367588932806
short_summary.specific.achromobacter_odb12.P2590_PCD_03072024-0	99.0513833992095	0.15810276679841898	0.11857707509881424	0.6719367588932806
short_summary.specific.achromobacter_odb12.P2590_PCD_02022023-0	98.18181818181819	0.3557312252964427	0.15810276679841898	1.3043478260869565
short_summary.specific.achromobacter_odb12.P2090_PCD_22032022-0	97.3913043478261	0.9090909090909091	0.1976284584980237	1.5019762845849802
short_summary.specific.achromobacter_odb12.P2090_PCD_18012021-0	96.7193675889328	1.0276679841897234	0.1976284584980237	2.0553359683794468
short_summary.specific.achromobacter_odb12.P2090_PCD_17012024-0	96.16600790513834	0.592885375494071	0.1976284584980237	3.0434782608695654
short_summary.specific.achromobacter_odb12.P2090_PCD_15032023-0	90.23715415019763	0.5138339920948617	0.15810276679841898	9.090909090909092
short_summary.specific.achromobacter_odb12.P2090_PCD_03082020-0	95.8102766798419	0.43478260869565216	0.1976284584980237	3.557312252964427
short_summary.specific.achromobacter_odb12.P1990_PCD_28042023-0	98.65612648221344	0.3557312252964427	0.31620553359683795	0.6719367588932806
short_summary.specific.achromobacter_odb12.P1990_PCD_24032022-0	97.70750988142292	0.8695652173913043	0.2766798418972332	1.1462450592885376
short_summary.specific.achromobacter_odb12.P1990_PCD_15032024-0	99.16996047430831	0.1976284584980237	0.2766798418972332	0.3557312252964427
short_summary.specific.achromobacter_odb12.P1890_PCD_22022022-0	98.93280632411067	0.2766798418972332	0.11857707509881424	0.6719367588932806
short_summary.specific.achromobacter_odb12.P1890_PCD_04102022-0	98.89328063241106	0.15810276679841898	0.11857707509881424	0.8300395256916997
short_summary.specific.achromobacter_odb12.P1590_PCD_10012022-0	96.79841897233202	0.592885375494071	0.31620553359683795	2.292490118577075
short_summary.specific.achromobacter_odb12.P1490_PCD_27082020-0	97.78656126482214	0.5533596837944664	0.15810276679841898	1.5019762845849802
short_summary.specific.achromobacter_odb12.P1490_PCD_09122016-0	96.99604743083003	0.5533596837944664	0.07905138339920949	2.371541501976284
short_summary.specific.achromobacter_odb12.P1090_PCD_23092021-0	96.28458498023716	0.47430830039525695	0.11857707509881424	3.122529644268775
short_summary.specific.achromobacter_odb12.P0890_PCD_31102022-1	99.0513833992095	0.23715415019762848	0.11857707509881424	0.592885375494071
short_summary.specific.achromobacter_odb12.P0890_PCD_31102022-0	98.41897233201581	0.31620553359683795	0.11857707509881424	1.1462450592885376
short_summary.specific.achromobacter_odb12.P0890_PCD_27092023-0	95.96837944664031	0.23715415019762848	0.11857707509881424	3.675889328063241
short_summary.specific.achromobacter_odb12.P0890_PCD_18032022-0	97.11462450592884	0.9486166007905139	0.11857707509881424	1.8181818181818181
short_summary.specific.achromobacter_odb12.P0890_PCD_08062021-0	98.06324110671937	0.6324110671936759	0.11857707509881424	1.185770750988142
short_summary.specific.achromobacter_odb12.P0790_PCD_28102024-0	98.65612648221344	0.23715415019762848	0.1976284584980237	0.9090909090909091
short_summary.specific.achromobacter_odb12.P0790_PCD_27062022-1	97.07509881422925	1.0671936758893281	0.1976284584980237	1.6600790513833994
short_summary.specific.achromobacter_odb12.P0790_PCD_27062022-0	97.4703557312253	0.9090909090909091	0.15810276679841898	1.4624505928853755
short_summary.specific.achromobacter_odb12.P0790_PCD_20062024-0	98.65612648221344	0.2766798418972332	0.1976284584980237	0.8695652173913043
short_summary.specific.achromobacter_odb12.P0790_PCD_19052020-0	96.40316205533597	0.47430830039525695	0.1976284584980237	2.924901185770751
short_summary.specific.achromobacter_odb12.P0790_PCD_07012022-0	96.99604743083003	0.9486166007905139	0.1976284584980237	1.8577075098814229
